level_0,index,DOI,Name,Temperature,proton conductivity,RH,Ea,Guest,NOTE,Water Adsorption(cm^3/g),g/g,mol/mol,weight,wt%
0,0,10.1021/acsaem.1c01541,RUBTAK,343.0,0.142,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
1,1,10.1021/acsaem.1c01541,RUBTAK,303.0,1.31e-06,40.0,,"imidazole,H2SO4",IL@UiO-66,208.0,,,,
2,2,10.1021/acsaem.1c01541,RUBTAK,303.0,0.0663,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
3,3,10.1021/acsaem.1c01541,RUBTAK,333.4044596,0.123545429,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
4,4,10.1021/acsaem.1c01541,RUBTAK,322.5868888,0.098002477,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
5,5,10.1021/acsaem.1c01541,RUBTAK,313.8495531,0.085707603,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
6,6,10.1021/acsaem.1c01541,RUBTAK,303.0,1.27e-05,49.7119,,"imidazole,H2SO4",IL@UiO-66,227.0,,,,
7,7,10.1021/acsaem.1c01541,RUBTAK,303.0,5.07e-05,59.6091,,"imidazole,H2SO4",IL@UiO-66,247.0,,,,
8,8,10.1021/acsaem.1c01541,RUBTAK,303.0,0.000754988,69.7737,,"imidazole,H2SO4",IL@UiO-66,260.0,,,,
9,9,10.1021/acsaem.1c01541,RUBTAK,303.0,0.014610329,79.6708,,"imidazole,H2SO4",IL@UiO-66,441.0,,,,
10,10,10.1021/acsaem.1c01541,RUBTAK,342.1482118,1.12e-05,98.0,0.53,,UiO-66,480.0,,,,
11,11,10.1021/acsaem.1c01541,RUBTAK,333.1134784,6.67e-06,98.0,0.53,,UiO-66,480.0,,,,
12,12,10.1021/acsaem.1c01541,RUBTAK,322.3705843,3.46e-06,98.0,0.53,,UiO-66,480.0,,,,
